City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,59.9,77,90,17.9,SH,1712101041
1,tazovsky,67.4667,78.7,26.29,96,100,15.55,RU,1712101042
2,puerto natales,-51.7236,-72.4875,38.75,72,31,11.41,CL,1712101042
3,georgetown,5.4112,100.3354,83.95,89,20,3.44,MY,1712100783
4,el granada,37.5027,-122.4694,78.48,77,0,13.8,US,1712101019
5,sandnessjoen,66.0217,12.6316,16.32,68,9,11.27,NO,1712101043
6,qaqortoq,60.7167,-46.0333,17.51,86,1,3.96,GL,1712101044
7,papatowai,-46.5619,169.4708,62.42,58,100,5.03,NZ,1712101044
8,bengkulu,-3.8004,102.2655,78.13,89,69,2.84,ID,1712101045
9,tual,-5.6667,132.75,81.57,83,100,16.26,ID,1712101045
10,port-aux-francais,-49.35,70.2167,44.31,79,91,28.57,TF,1712101045
11,dunedin,-45.8742,170.5036,58.8,74,100,8.01,NZ,1712100981
12,uturoa,-16.7333,-151.4333,83.43,74,35,18.39,PF,1712101046
13,grytviken,-54.2811,-36.5092,39.24,75,17,11.36,GS,1712101047
14,sinjai,-5.1241,120.253,78.87,87,100,2.17,ID,1712101048
15,palikir - national government center,6.9248,158.1611,85.05,70,100,17.27,FM,1712101048
16,vorgashor,67.5833,63.95,-7.4,91,71,14.61,RU,1712101048
17,port alfred,-33.5906,26.891,60.19,88,76,1.01,ZA,1712101049
18,saudarkrokur,65.7461,-19.6394,13.33,83,9,8.61,IS,1712101049
19,pandan,14.0453,124.1694,80.98,72,92,8.77,PH,1712101050
20,port mathurin,-19.6833,63.4167,79.81,82,100,15.46,MU,1712101050
21,bilibino,68.0546,166.4372,4.69,61,5,1.92,RU,1712101050
22,danjiangkou,32.5428,111.5086,58.48,86,100,3.29,CN,1712101051
23,howard springs,-12.497,131.047,82.87,93,73,9.91,AU,1712101051
24,san juan de miraflores,-12.1629,-76.9635,78.17,65,59,6.76,PE,1712101052
25,christchurch,-43.5333,172.6333,65.41,71,74,13.8,NZ,1712101052
26,adamstown,-25.066,-130.1015,75.29,71,71,26.64,PN,1712101052
27,ribeira grande,38.5167,-28.7,60.49,81,100,26.78,PT,1712101053
28,ilulissat,69.2167,-51.1,24.82,86,75,0.0,GL,1712101053
29,jamestown,42.097,-79.2353,53.19,93,100,12.66,US,1712101054
30,fale old settlement,-9.3852,-171.2468,84.83,72,80,3.04,TK,1712101054
31,hakha,22.65,93.6167,55.44,82,10,3.27,MM,1712101055
32,waitangi,-43.9535,-176.5597,58.82,93,100,7.0,NZ,1712101055
33,mitsamiouli,-11.3847,43.2844,82.47,79,96,7.65,KM,1712101056
34,trujillo,-8.116,-79.03,71.56,83,75,10.36,PE,1712101032
35,longyearbyen,78.2186,15.6401,1.24,71,75,11.5,SJ,1712100757
36,talnakh,69.4865,88.3972,10.31,83,100,11.32,RU,1712101057
37,margaret river,-33.95,115.0667,54.27,75,1,10.71,AU,1712101057
38,arteche,12.2645,125.4048,80.91,78,75,5.19,PH,1712101057
39,lospalos,-8.5186,127.0025,79.48,76,99,1.21,TL,1712101058
40,ta`u,-14.2336,-169.5144,84.2,79,92,17.2,AS,1712101058
41,soe,-9.8607,124.284,72.46,86,86,3.69,ID,1712101058
42,fortuna,40.5982,-124.1573,56.93,91,100,13.8,US,1712100974
43,saint-pierre,-21.3393,55.4781,76.68,78,0,28.77,RE,1712101059
44,brandon,27.9378,-82.2859,81.28,78,40,10.36,US,1712101060
45,blackmans bay,-43.0167,147.3167,53.53,65,67,1.99,AU,1712101060
46,port lincoln,-34.7333,135.8667,62.58,64,93,7.09,AU,1712101060
47,avarua,-21.2078,-159.775,84.25,65,40,8.05,CK,1712101061
48,punta arenas,-53.15,-70.9167,39.31,75,20,16.11,CL,1712101061
49,laxey,54.2302,-4.3999,46.06,87,100,12.21,IM,1712101061
50,richland center,43.3347,-90.3868,35.42,99,100,19.24,US,1712101062
51,chagoda,59.164,35.3285,48.65,98,100,7.2,RU,1712101062
52,umm kaddadah,13.6017,26.6876,74.28,15,88,8.48,SD,1712101063
53,invercargill,-46.4,168.35,62.02,64,99,14.0,NZ,1712101064
54,brookings,44.3114,-96.7984,45.18,59,100,25.32,US,1712101064
55,nemuro,43.3236,145.575,35.56,66,1,10.69,JP,1712101064
56,camana,-16.6228,-72.7111,70.88,79,16,3.89,PE,1712101065
57,saryaghash,41.45,69.1667,51.73,61,100,0.69,KZ,1712101065
58,namibe,-15.1961,12.1522,74.01,73,25,8.28,AO,1712101066
59,simenqian,27.4872,110.8861,63.1,97,99,4.81,CN,1712101066
60,as sulayyil,20.4607,45.5779,66.45,71,93,10.27,SA,1712101066
61,mckinleyville,40.9465,-124.1006,56.79,93,100,9.22,US,1712101067
62,xining,36.6167,101.7667,38.66,75,96,2.51,CN,1712101067
63,kralendijk,12.15,-68.2667,82.38,74,40,14.97,BQ,1712100820
64,susuman,62.7833,148.1667,-1.01,79,7,3.0,RU,1712101068
65,luderitz,-26.6481,15.1594,63.75,72,1,4.47,NA,1712101068
66,nagqu,31.5,92.0,27.36,47,94,7.16,CN,1712101069
67,afaahiti,-17.75,-149.2833,85.87,76,66,18.52,PF,1712101069
68,ushuaia,-54.8,-68.3,40.66,75,75,6.91,AR,1712101070
69,chegdomyn,51.1167,133.0167,27.19,83,100,2.53,RU,1712101070
70,northam,51.0333,-4.2167,52.61,96,86,21.09,GB,1712101070
71,anadyr,64.75,177.4833,15.01,85,75,35.79,RU,1712101071
72,piti village,13.4626,144.6933,84.31,83,93,17.94,GU,1712101071
73,college,64.8569,-147.8028,14.47,62,100,9.22,US,1712101054
74,kismayo,-0.3582,42.5454,82.47,78,38,8.72,SO,1712101072
75,badger,64.8,-147.5333,14.38,64,100,9.22,US,1712100850
76,polyarnyy,69.1989,33.4478,-2.36,99,32,7.49,RU,1712101074
77,bata,1.8639,9.7658,82.26,89,40,2.3,GQ,1712101074
78,flying fish cove,-10.4217,105.6791,80.28,89,40,9.22,CX,1712101074
79,angaur state,6.906,134.13,82.26,82,100,22.19,PW,1712101075
80,pundong,-7.9522,110.3486,81.05,86,85,6.02,ID,1712101075
81,sompeta,18.9333,84.6,81.09,77,4,12.01,IN,1712101076
82,moose jaw,50.4001,-105.5344,55.67,21,75,4.61,CA,1712101076
83,thompson,55.7435,-97.8558,35.76,64,100,2.3,CA,1712101077
84,yellowknife,62.456,-114.3525,33.42,73,75,10.36,CA,1712101077
85,lenino,45.2986,35.7771,55.38,82,88,9.15,UA,1712101078
86,darwin,-12.4611,130.8418,82.94,85,75,10.36,AU,1712101025
87,st. john's,47.5649,-52.7093,34.97,91,100,25.99,CA,1712101078
88,vilyuysk,63.7553,121.6247,13.28,96,98,6.42,RU,1712101079
89,weno,7.4515,151.8468,85.95,84,100,9.22,FM,1712101079
90,lihue,21.9789,-159.3672,76.59,71,75,14.97,US,1712100857
91,nova sintra,14.8667,-24.7167,68.0,80,38,19.73,CV,1712101080
92,alice springs,-23.7,133.8833,69.22,42,0,9.22,AU,1712101080
93,sitka,57.0531,-135.33,44.49,61,100,11.5,US,1712101081
94,cooma,-36.2333,149.1333,57.83,49,0,1.45,AU,1712100843
95,pankrushikha,53.8319,80.3406,32.72,99,98,4.59,RU,1712101081
96,westport,41.1415,-73.3579,45.72,89,100,20.71,US,1712100969
97,wailua homesteads,22.0669,-159.378,75.99,71,75,14.97,US,1712101082
98,keflavik,64.0049,-22.5624,31.91,100,100,13.8,IS,1712101083
99,bethel,41.3712,-73.414,44.96,86,100,6.91,US,1712101083
100,pontianak,-0.0333,109.3333,78.78,100,40,4.61,ID,1712101084
101,lompoc,34.6391,-120.4579,72.79,64,0,11.5,US,1712101084
102,cockburn town,21.4612,-71.1419,76.98,78,10,18.16,TC,1712100921
103,farafangana,-22.8167,47.8333,73.65,89,87,7.56,MG,1712101085
104,kirensk,57.7853,108.1119,2.97,99,77,3.0,RU,1712101085
105,piggs peak,-25.9667,31.25,58.6,92,3,2.68,SZ,1712101086
106,bhamo,24.2667,97.2333,69.35,61,27,1.9,MM,1712101086
107,nantucket,41.2835,-70.0995,42.94,83,100,11.5,US,1712100978
108,thames,-37.1333,175.5333,69.13,51,7,2.98,NZ,1712101087
109,severo-yeniseyskiy,60.3725,93.0408,19.58,96,99,4.0,RU,1712101087
110,sisimiut,66.9395,-53.6735,24.48,78,92,7.83,GL,1712101088
111,chinchilla,-26.75,150.6333,81.01,72,5,3.0,AU,1712101088
112,abaete,-19.16,-45.4458,70.7,89,100,1.77,BR,1712101089
113,guerrero negro,27.9769,-114.0611,67.15,55,0,13.89,MX,1712101005
114,lebu,-37.6167,-73.65,54.93,83,100,2.04,CL,1712101090
115,calverton,39.0576,-76.9358,50.97,96,100,5.75,US,1712101090
116,atafu village,-8.5421,-172.5159,84.29,72,74,2.64,TK,1712101091
117,saldanha,-33.0117,17.9442,59.05,86,100,13.29,ZA,1712101091
118,khandyga,62.6667,135.6,13.12,92,100,1.16,RU,1712101092
119,enewetak,11.3474,162.3373,80.29,81,84,21.61,MH,1712101092
120,oroqen zizhiqi,50.5667,123.7167,29.62,68,54,3.83,CN,1712101092
121,zelenoborskiy,66.845,32.3622,5.36,98,93,4.72,RU,1712101093
122,west island,-12.1568,96.8225,80.58,83,40,10.36,CC,1712101094
123,albany,42.6001,-73.9662,44.17,83,100,1.99,US,1712100895
124,mujiayingzi,42.1167,118.7833,40.98,24,100,0.65,CN,1712101094
125,petauke,-14.2426,31.3253,64.27,83,46,5.82,ZM,1712101095
126,el bauga,18.262,33.9081,77.54,17,54,10.29,SD,1712101095
127,paris,48.8534,2.3488,54.43,80,100,14.97,FR,1712100583
128,lata,40.1629,-8.3327,55.92,98,29,4.05,PT,1712101096
129,hamilton,39.1834,-84.5333,66.9,92,75,9.22,US,1712101019
130,naze,28.3667,129.4833,70.72,89,53,21.68,JP,1712101097
131,iqaluit,63.7506,-68.5145,31.73,93,100,4.61,CA,1712101097
132,hastings,50.8552,0.5729,50.29,95,100,22.68,GB,1712101098
133,trinidad,-14.8333,-64.9,82.38,83,95,4.61,BO,1712100819
134,acambay,19.9558,-99.8417,71.1,24,98,13.56,MX,1712101098
135,road town,18.4167,-64.6167,78.84,73,75,12.66,VG,1712101099
136,argo,37.6333,22.7333,62.78,66,100,5.44,GR,1712101099
137,laojunmiao,39.8333,97.7333,36.64,67,94,3.38,CN,1712101100
138,bahia blanca,-38.7196,-62.2724,69.87,41,88,18.81,AR,1712101000
139,stanley,54.868,-1.6985,45.72,97,100,3.44,GB,1712101100
140,tosontsengel,48.7567,98.2839,13.33,91,35,2.48,MN,1712101101
141,fort bragg,35.139,-79.006,80.74,55,0,9.22,US,1712100931
142,kone,-21.0595,164.8658,86.22,54,7,4.56,NC,1712101102
143,la libertad,-2.2333,-80.9,78.46,83,75,5.75,EC,1712101102
144,eyl,7.9803,49.8164,80.17,77,39,8.59,SO,1712101103
145,beau vallon,-20.4189,57.6953,79.03,73,75,14.97,MU,1712101018
146,isafjordur,66.0755,-23.124,21.63,74,8,5.03,IS,1712101103
147,constantia,44.1833,28.65,54.28,60,97,6.31,RO,1712101104
148,puerto ayora,-0.7393,-90.3518,79.56,90,94,3.0,EC,1712101104
149,choele choel,-39.2667,-65.6833,66.42,34,99,25.59,AR,1712101105
150,iguatu,-6.3594,-39.2986,76.41,88,83,3.0,BR,1712100846
151,kongolo,-5.3833,27.0,70.65,97,98,1.1,CD,1712101106
152,kodiak,57.79,-152.4072,35.11,35,0,23.02,US,1712101106
153,tyuratam,45.6507,63.3156,47.3,59,2,9.33,KZ,1712101107
154,shubarshi,48.5872,57.1869,43.99,75,63,4.34,KZ,1712101107
155,santa ana de yacuma,-13.75,-65.4333,82.35,89,77,0.0,BO,1712101108
156,pisco,-13.7,-76.2167,75.25,69,40,17.27,PE,1712100848
157,divnoye,45.9089,43.3547,50.5,74,55,10.27,RU,1712101108
158,port blair,11.6667,92.75,75.24,94,35,2.3,IN,1712101109
159,ancud,-41.8697,-73.8203,50.2,73,73,13.78,CL,1712101109
160,kerikeri,-35.2268,173.9474,70.56,51,6,5.57,NZ,1712101110
161,olonkinbyen,70.9221,-8.7187,26.02,64,81,15.86,SJ,1712101110
162,bredasdorp,-34.5322,20.0403,60.28,89,56,3.47,ZA,1712100858
163,pitimbu,-7.4706,-34.8086,84.79,84,26,9.84,BR,1712101111
164,chemolgan,43.1897,76.5292,38.86,63,99,4.29,KZ,1712101112
165,ust-nera,64.5667,143.2,9.55,82,67,2.71,RU,1712101112
166,tofol,5.3248,163.0078,87.58,70,100,16.11,FM,1712101113
167,penhalonga,-18.8911,32.6978,59.43,96,46,3.0,ZW,1712101113
168,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,44,0,6.71,RU,1712100843
169,vila velha,-20.3297,-40.2925,82.35,86,0,5.75,BR,1712100940
170,hermanus,-34.4187,19.2345,58.8,86,58,9.13,ZA,1712101115
171,jiaojiang,28.6803,121.4428,68.45,91,94,5.26,CN,1712101115
172,vilyuchinsk,52.9306,158.4028,37.67,79,99,7.14,RU,1712101116
173,wad rawah,15.1603,33.1397,81.12,15,83,9.42,SD,1712101116
174,mount pearl,47.5166,-52.7813,34.14,91,100,24.16,CA,1712101117
175,aasiaat,68.7098,-52.8699,13.32,92,86,5.03,GL,1712101117
176,fada,9.5667,8.3,78.78,44,15,1.74,NG,1712101118
177,aioun,16.6614,-9.6149,92.57,14,1,10.85,MR,1712101119
178,minas de marcona,-15.2119,-75.1103,64.44,76,77,9.24,PE,1712101119
179,selkirk,50.1436,-96.8845,36.09,89,94,4.0,CA,1712100852
180,cabo san lucas,22.8909,-109.9124,76.3,51,0,10.36,MX,1712100898
181,abdulino,53.7,53.6667,36.82,86,43,8.08,RU,1712101120
182,vsetin,49.3387,17.9962,49.42,76,36,1.01,CZ,1712101121
183,crane,31.3974,-102.3501,66.7,19,78,18.39,US,1712101121
184,aitape,-3.1374,142.3475,81.1,84,100,1.83,PG,1712101122
185,shihezi,44.3,86.0333,45.68,52,31,3.42,CN,1712101122
186,acarau,-2.8856,-40.12,79.84,87,99,4.94,BR,1712101116
187,rikaze,29.25,88.8833,37.22,51,27,2.37,CN,1712101123
188,geraldton,-28.7667,114.6,73.81,38,80,10.36,AU,1712101123
189,fyodorovka,53.6314,62.7078,34.2,100,46,6.82,KZ,1712101123
190,al bawiti,28.3492,28.8659,64.63,41,0,7.83,EG,1712101124
191,tiksi,71.6872,128.8694,-6.11,90,86,5.64,RU,1712101125
192,hassi messaoud,31.6804,6.0729,69.66,37,1,6.91,DZ,1712100845
193,tazacorte,28.629,-17.9293,65.37,86,0,4.61,ES,1712101126
194,whitehorse,60.7161,-135.0538,38.17,40,75,6.91,CA,1712101126
195,thinadhoo,0.5333,72.9333,84.09,71,95,2.84,MV,1712101126
196,wenchang,30.904,118.4887,59.76,95,100,9.53,CN,1712101127
197,mikuni,36.2171,136.1519,55.31,81,100,7.2,JP,1712101127
198,tsengel,49.4783,100.8894,30.74,46,8,2.3,MN,1712101128
199,hasaki,35.7333,140.8333,57.29,68,100,6.04,JP,1712101128
200,vadso,70.0744,29.7487,14.16,79,96,13.8,NO,1712101128
201,palenque,17.5167,-91.9667,100.56,47,0,0.0,MX,1712101129
202,san marcos,33.1434,-117.1661,77.32,58,0,9.22,US,1712100856
203,puerto baquerizo moreno,-0.9,-89.6,77.61,80,84,8.75,EC,1712101130
204,kotido,2.9806,34.1331,65.71,93,100,9.26,UG,1712101130
205,new norfolk,-42.7826,147.0587,54.72,55,53,3.38,AU,1712101130
206,taoudenni,22.6783,-3.9836,87.37,16,6,10.2,ML,1712101131
207,mil'kovo,55.6078,37.7956,59.4,75,100,13.31,RU,1712101132
208,tsiombe,-25.3,45.4833,69.6,91,0,9.44,MG,1712101132
209,jindabyne,-36.4167,148.6333,56.57,72,9,4.0,AU,1712101132
210,happy valley-goose bay,53.3168,-60.3315,34.11,75,75,11.5,CA,1712101133
211,chandbali,20.7833,86.7667,77.43,92,1,5.17,IN,1712101133
212,saipan,15.1355,145.701,84.9,74,40,17.27,MP,1712101134
213,kavieng,-2.5744,150.7967,84.34,76,100,10.76,PG,1712101134
214,suva,-18.1416,178.4415,85.48,74,75,11.5,FJ,1712101134
215,buka,40.8108,69.1986,52.07,70,100,5.01,UZ,1712101135
216,kuanda,56.3161,116.0806,15.84,90,56,1.97,RU,1712101135
217,huarmey,-10.0681,-78.1522,72.81,82,24,7.31,PE,1712101136
218,nuuk,64.1835,-51.7216,29.01,74,18,8.05,GL,1712101136
219,la passe,45.5549,-0.8967,52.03,84,100,17.6,FR,1712101136
220,udachny,66.4167,112.4,13.55,86,100,15.01,RU,1712101137
221,sydney,-33.8679,151.2073,70.59,59,20,5.75,AU,1712101029
222,pangody,65.85,74.4859,32.52,98,100,19.33,RU,1712101138
223,madera,37.1666,-119.8343,77.45,46,0,2.46,US,1712101016
224,nioki,-2.7167,17.6833,73.44,87,97,2.73,CD,1712101138
225,utrik,11.2278,169.8474,80.2,77,100,17.85,MH,1712101139
226,hilo,19.7297,-155.09,79.09,77,75,12.66,US,1712101139
227,hawaiian paradise park,19.5933,-154.9731,78.87,74,75,12.66,US,1712101140
228,hirara,24.8,125.2833,77.27,94,40,18.41,JP,1712101140
229,tobol'sk,58.2,68.2667,40.6,73,88,8.99,RU,1712101140
230,amga,60.8953,131.9608,18.27,92,100,7.61,RU,1712101141
231,sur,22.5667,59.5289,79.25,47,91,5.01,OM,1712101142
232,kirando,-7.4167,30.6,72.05,85,52,4.97,TZ,1712101142
233,sebastopol,44.6,33.5333,53.08,80,75,2.73,UA,1712100954
234,yashkul',46.1711,45.3435,50.47,61,15,11.48,RU,1712101143
235,bodo,67.28,14.405,17.64,57,0,11.5,NO,1712100897
236,zavallya,48.2135,30.0156,51.3,61,64,17.72,UA,1712101144
237,gizo,-8.103,156.8419,83.59,75,88,7.29,SB,1712101145
238,smithers,54.7804,-127.1743,46.72,27,20,20.71,CA,1712100918
239,dhuusamarreeb,5.535,46.3861,79.32,77,89,7.02,SO,1712101145
240,seven pagodas,12.6264,80.1722,82.45,86,74,10.49,IN,1712101146
241,the pas,53.8251,-101.2541,46.42,42,0,3.44,CA,1712101146
242,bontang,0.1333,117.5,79.5,82,70,8.72,ID,1712101147
243,okha,53.5739,142.9478,25.0,77,97,13.58,RU,1712101148
244,vila do maio,15.1333,-23.2167,72.39,79,10,18.84,CV,1712101148
245,n'zeto,-7.2312,12.8666,80.49,88,70,5.39,AO,1712101148
246,sinabang,2.4803,96.3801,81.09,79,100,2.39,ID,1712101149
247,tanumah,27.1,44.1333,68.43,23,71,8.19,SA,1712101150
248,durazno,-33.4131,-56.5006,60.75,82,0,6.91,UY,1712101150
249,kill devil hills,36.0307,-75.676,71.6,81,0,12.66,US,1712101151
250,mazamari,-11.3258,-74.5308,72.5,98,88,1.7,PE,1712101151
251,timimoun,29.2639,0.231,75.58,16,0,16.11,DZ,1712101152
252,dej,47.15,23.8667,41.92,88,55,2.28,RO,1712101152
253,tolanaro,-25.0319,46.9987,73.47,88,75,6.91,MG,1712101152
254,gerolstein,50.2222,6.6598,48.85,92,100,7.85,DE,1712101153
255,keren,15.7778,38.4581,72.18,23,89,2.42,ER,1712101153
256,port elizabeth,-33.918,25.5701,63.32,79,0,12.66,ZA,1712101154
257,yinchuan,38.4681,106.2731,49.53,51,97,3.04,CN,1712101154
258,nampula,-15.1165,39.2666,75.15,94,75,5.75,MZ,1712101139
259,akrehamn,59.2667,5.1833,42.42,87,75,8.05,NO,1712101155
260,bereznik,62.8551,42.7072,22.08,81,94,11.07,RU,1712101155
261,pemangkat,1.1667,108.9667,79.23,89,97,4.65,ID,1712101156
262,mirny,62.5353,113.9611,21.29,92,96,11.5,RU,1712101156
263,codrington,-38.2667,141.9667,58.87,71,83,10.49,AU,1712101156
264,floro,61.5996,5.0328,37.47,56,64,12.66,NO,1712101157
265,san patricio,28.017,-97.5169,87.75,35,0,16.35,US,1712101157
266,severobaykal'sk,55.65,109.3167,5.5,80,15,1.95,RU,1712101158
